Last Name,First Name,ID,email,Admitted,duPont Code,Status,Comments,Term,Co Cur 1,Date 1,FSEM HN,FSEM Date,HN course 1,HN 1 Date,HN course 2,HN 2 Date,HN course 3,HN 3 Date,HN course 4,HN 4 Date,HN course 5,HN 5 Date,Research Course,Research Date,Capstone Course,Capstone Date,HONR201,HONR201 Date,Leadership,mentoring,GPA Fall 2016,GPA Spring 2017,GPA Fall 2017,GPA Spring 2018,GPA Fall 2018,GPA Spring 2019,GPA Fall 2019,GPA Spring 2020,HONR Portfolio 4,HONR Portfolio 1,HONR Portfolio 2,HONR Portfolio 3,Exit Interview
Polk,James,36625,jpolk@umw.edu,Fall 2016,1121,Good,,Fall 2016,Twelfth Night,11/13/16,FSEM 100G4,Fall 2016,BIOL 125,Fall 2016,THEA 211A,Fall 2016,BIOL 126,Spring 2017,,,,,BIOL 260,Spring 2017,,,,,,,4,,,,,,,,,,,,
Taylor,Zachary,36626,ztaylor@umw.edu,Fall 2016,1122,Good,,Fall 2016,The Jewish Student Association's Keynote Address,11/7/16,FSEM 100G7,Fall 2016,MATH 200,Fall 2016,SPAN 201A,Fall 2016,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Fillmore,Millard,36627,mfillmor@umw.edu,Fall 2016,1123,Good,,Fall 2016,Gaye Adegbalola,9/25/16,FSEM 100G4,Fall 2016,PSCI 101A,Fall 2016,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Pierce,Franklin,36628,fpierce@umw.edu,Fall 2016,1124,Good,,Fall 2016,Kristen Green Lecture,9/19/16,FSEM 100N6,Fall 2016,CPSC 220,Fall 2016,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Buchanan,James,36629,jbuchana@umw.edu,Fall 2016,1125,Good,,Fall 2016,Podius Debate,10/10/16,FSEM 100G7,Fall 2016,ENGL 206A,Spring 2017,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Lincoln,Abraham,36630,alincoln@umw.edu,Fall 2016,1126,Good,,Fall 2016,Kristen Green,9/19/16,FSEM 100N3,Fall 2016,PSCI 101A,Fall 2016,ENGL 206A,Spring 2017,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Johnson,Andrew,36631,ajohnson@umw.edu,Fall 2016,1127,Good, CC,Fall 2016,,,FSEM 100P6,Fall 2016,ANTH 101,Fall 2016,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Grant,Ulysses,36632,ugrant@umw.edu,Spring 2017,1128,Good,Track B,,,,ENGL 206A,Spring 2017,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Hayes,Rutherford,36633,rhayes@umw.edu,Spring 2017,1129,Good,Track B,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Garfield,James,36634,jgarfiel@umw.edu,Fall 2016,1130,Good,,Fall 2016,Kristen Green,9/19/16,HIST 201,Fall 2016,CPSC 110,Spring 2017,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Arthur,Chester,36635,carthur@umw.edu,Fall 2016,1131,Good,,Fall 2016,Kristen Green,9/19/16,FSEM 100G4,Fall 2016,HISP 101,Fall 2016,HIST 190,Spring 2017,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Cleveland,Grover,36636,gclevela@umw.edu,Spring 2017,1132,Good,Track B,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Harrison,Benjamin,36637,bharriso@umw.edu,Fall 2016,1133,Good,,Fall 2016,"Shinto: Nature, Myth, Misogyny, and Nationalism in Japan",11/2/16,FSEM 100N5,Fall 2016,CHEM 112,Spring 2017,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
McKinley,William,36638,wmckinle@umw.edu,Fall 2016,1134,Good,GPA,Fall 2016,Virginia Congressional Campaign Debate,10/23/16,FSEM 100N5,Fall 2016,BIOL 125,Fall 2016,BIOL 126,Spring 2017,,,,,,,,,,,,,,,4,,,,,,,,,,,,
